,Neighborhood
Downtown,9048
Frankford,6642
Belair-Edison,5977
Brooklyn,4516
Cherry Hill,4086
Sandtown-Winchester,4026
Canton,3787
Inner Harbor,3414
Upton,3385
Patterson Park Neighborho,3368
Fells Point,3316
Coldstream Homestead Mont,3307
Hamilton Hills,3303
Mondawmin,3251
Washington Village/Pigtow,3223
McElderry Park,3004
Central Park Heights,2960
Mount Vernon,2751
Broadway East,2741
Carrollton Ridge,2653
Hampden,2524
East Baltimore Midway,2460
Reservoir Hill,2426
Oliver,2376
Ellwood Park/Monument,2364
Mid-Town Belvedere,2362
Harlem Park,2172
Charles Village,2158
Baltimore Highlands,2104
Better Waverly,2028
Morrell Park,2021
Penrose/Fayette Street Ou,1955
Curtis Bay,1932
Charles North,1930
Waltherson,1912
Lakeland,1892
Reisterstown Station,1880
Glenham-Belhar,1873
Highlandtown,1835
Ednor Gardens-Lakeside,1782
Howard Park,1773
Washington Hill,1743
Pulaski Industrial Area,1736
Irvington,1713
Penn North,1690
Glen,1676
Bolton Hill,1674
Dunbar-Broadway,1651
Millhill,1645
Barclay,1605
Riverside,1605
Poppleton,1558
Madison Park,1546
Federal Hill,1519
Loch Raven,1515
Greektown,1470
Franklin Square,1460
Carroll - Camden Industri,1454
Jonestown,1429
Woodmere,1423
Berea,1406
North Harford Road,1393
Johnston Square,1363
Hollins Market,1357
Oldtown,1348
New Southwest/Mount Clare,1326
Upper Fells Point,1313
New Northwood,1252
Park Circle,1213
Gay Street,1211
Madison-Eastend,1185
Druid Heights,1183
CARE,1181
Allendale,1173
Waverly,1161
Rosemont,1156
Arlington,1151
Canton Industrial Area,1137
Lauraville,1131
Greenmount West,1085
Shipley Hill,1079
Hanlon-Longwood,1077
Midtown-Edmondson,1076
Walbrook,1073
Coppin Heights/Ash-Co-Eas,1072
Remington,1071
Downtown West,1071
Greenspring,1061
Penn-Fallsway,1054
Bridgeview/Greenlawn,1034
Middle East,1027
Glen Oaks,1016
Edmondson Village,996
Cylburn,995
Violetville,969
South Baltimore,951
Pen Lucy,937
Cedmont,935
Seton Hill,927
Milton-Montford,910
Westfield,906
Butcher's Hill,892
Homeland,882
Graceland Park,879
Fallstaff,858
Armistead Gardens,856
Union Square,850
Old Goucher,832
Ashburton,830
Rognel Heights,830
Franklintown Road,816
Beechfield,816
Westport,808
Parkview/Woodbrook,807
Dolfield,805
Little Italy,783
Dorchester,779
Mount Washington,773
Patterson Place,766
Edgewood,759
Bayview,749
Brewers Hill,749
Easterwood,739
Rosemont Homeowners/Tenan,733
Broening Manor,732
Roland Park,714
Abell,708
Mosher,707
Perkins Homes,706
Northwest Community Actio,705
Harwood,701
Parkside,700
Cheswolde,698
Saint Josephs,695
University Of Maryland,688
Hillen,681
Westgate,681
Mount Holly,677
West Arlington,662
Towanda-Grantley,654
Guilford,652
West Forest Park,652
Clifton Park,641
Perring Loch,640
Parklane,631
Yale Heights,626
Cross Country,621
East Arlington,610
Four By Four,604
South Clifton Park,589
Windsor Hills,583
Liberty Square,582
Rosemont East,581
Heritage Crossing,568
Forest Park,567
Levindale,559
Gwynns Falls,559
Grove Park,558
Biddle Street,547
Darley Park,531
Cameron Village,529
Hunting Ridge,527
Medford,520
Langston Hughes,519
Woodbourne Heights,518
Woodberry,517
Idlewood,507
Callaway-Garrison,505
Pimlico Good Neighbors,504
Cedonia,504
Mid-Govans,500
Central Forest Park,496
Garwyn Oaks,492
Otterbein,490
Lake Walker,486
Winston-Govans,471
Medfield,468
Ridgely's Delight,466
Wakefield,466
Carroll-South Hilton,457
Oakenshawe,454
Ramblewood,454
Hopkins Bayview,446
Winchester,446
Orchard Ridge,445
Panway/Braddish Avenue,445
Uplands,442
Fairmont,440
Sharp-Leadenhall,438
Coldspring,422
Kresson,409
Fairfield Area,409
West Hills,407
Evergreen Lawn,405
Woodbourne-McCabe,399
Seton Business Park,397
Pleasant View Gardens,391
Concerned Citizens Of For,389
Middle Branch/Reedbird Pa,382
Orangeville,376
Boyd-Booth,376
Chinquapin Park,361
Hoes Heights,346
O'Donnell Heights,346
Ten Hills,341
Kenilworth Park,340
Locust Point,338
Belvedere,332
Original Northwood,326
Arcadia,321
Burleith-Leighton,320
Mayfield,320
Stadium Area,312
Port Covington,308
Wilhelm Park,302
Wilson Park,297
Rosebank,284
Lucille Park,279
Locust Point Industrial A,271
Franklintown,268
Mount Winans,267
Orangeville Industrial Ar,265
Wyman Park,263
Patterson Park,262
Saint Agnes,257
Moravia-Walther,256
Tuscany-Canterbury,255
Druid Hill Park,255
North Roland Park/Poplar,246
Stonewood-Pentwood-Winsto,245
Beverly Hills,243
Carroll Park,235
Evesham Park,235
Jones Falls Area,234
Kernewood,232
Montebello,221
Lower Edmondson Village,220
Morgan State University,219
Cross Keys,209
Tremont,199
Saint Helena,192
Richnor Springs,191
Barre Circle,185
Radnor-Winston,183
Overlea,183
Lake Evesham,176
York-Homeland,174
Wyndhurst,174
Johns Hopkins Homewood,170
Cedarcroft,166
Belair-Parkside,160
Oaklee,156
Hawkins Point,148
Sabina-Mattfeldt,144
Purnell,138
Wrenlane,126
Dickeyville,113
Holabird Industrial Park,107
Evergreen,106
Loyola/Notre Dame,97
Forest Park Golf Course,89
The Orchards,88
Gwynns Falls/Leakin Park,83
Keswick,82
Eastwood,81
Bellona-Gittings,76
Spring Garden Industrial,74
Saint Paul,67
Curtis Bay Industrial Are,62
Herring Run Park,56
Morgan Park,46
Lower Herring Run Park,42
Taylor Heights,40
Villages Of Homeland,37
Greenmount Cemetery,23
Mt Pleasant Park,13
Blythewood,4
Dundalk Marine Terminal,1
